Segment	Chr	StartMB	StopMB	Length	N_SNP	StartSNP	StopSNP
1	1	13.802	47.869	34.067	445	1:13802325	1:47869316
2	1	52.718	120.469	67.751	700	1:52717821	1:120469077
3	1	197.128	242.928	45.800	604	1:197127578	1:242928016
4	2	0.039	31.613	31.574	453	2:38938	2:31613249
5	2	195.081	242.843	47.762	590	2:195080877	2:242842568
6	3	0.115	47.347	47.232	649	3:115040	3:47346717
7	3	161.222	197.445	36.224	464	3:161221705	3:197445211
8	4	0.094	29.726	29.631	438	4:94481	4:29725653
9	4	151.936	190.873	38.937	537	4:151936149	4:190872778
10	6	0.206	25.488	25.282	445	6:205878	6:25488265
11	6	142.560	170.879	28.318	430	6:142560307	6:170878793
12	7	0.115	54.966	54.851	747	7:115454	7:54966019
13	7	127.668	158.745	31.078	456	7:127667516	7:158745142
14	8	12.616	42.364	29.748	366	8:12616424	8:42364121
15	8	115.012	145.701	30.690	392	8:115011589	8:145701453
16	9	12.356	39.021	26.665	353	9:12356314	9:39021035
17	9	76.731	107.952	31.220	376	9:76731402	9:107951588
18	9	109.066	140.775	31.709	494	9:109065718	9:140774721
19	10	0.189	23.400	23.211	399	10:188805	10:23400191
20	10	77.023	135.277	58.254	753	10:77022912	10:135276845
21	11	0.233	30.782	30.549	480	11:233067	11:30781773
22	11	90.581	134.800	44.219	607	11:90581371	11:134800160
23	12	0.236	32.897	32.661	507	12:235962	12:32896944
24	12	113.215	133.689	20.473	422	12:113215452	12:133688707
25	13	20.704	115.053	94.349	1129	13:20703831	13:115053155
26	14	20.475	66.387	45.912	515	14:20475255	14:66387118
27	14	67.452	106.008	38.557	528	14:67451508	14:106008316
28	15	75.938	102.106	26.168	414	15:75938254	15:102106000
29	16	68.432	89.728	21.296	450	16:68431756	16:89727595
30	17	0.033	17.306	17.274	381	17:32579	17:17306087
31	17	25.629	57.883	32.254	372	17:25628820	17:57882679
32	17	63.105	81.046	17.941	393	17:63105121	17:81046413
33	18	19.677	77.574	57.896	684	18:19677116	18:77573548
34	19	0.366	24.368	24.002	460	19:366451	19:24368053
35	20	0.069	25.085	25.016	459	20:69094	20:25084781
36	20	34.850	62.879	28.030	472	20:34849599	20:62879331
37	21	15.276	48.081	32.805	518	21:15275981	21:48081215
